"filename","contents","player_name"
"report_15.txt","The Cleveland Cavaliers (53 - 29) defeated the Washington Wizards (46 - 36) 113 - 108 on Wednesday at Quicken Loans Arena in Cleveland. With 50 seconds left in the game, Kendrick Perkins was able to hit a jumper and put the Cavaliers up two. It was Dejuan Blair who came up big for the Wizards though, banking in a shot to tie the game with just over seven seconds left in the game. Matthew Dellavedova had a chance to win the game at the end of regulation, but he missed and it went to overtime. In overtime, the Cavaliers took control of the game and ended up winning a momentum builder for the playoffs. Both teams had locked up their playoff spots before this game, but we now know for sure who each will play. The Wizards will take on the Toronto Raptors in the first round, while the Cavaliers will play the Boston Celtics. With LeBron James being held out of the lineup and the usual starters getting very limited minutes, it was the bench that took over this game for the Cavaliers. Iman Shumpert and Matthew Dellavedova had the biggest games off the bench. Shumpert went 7 - for - 12 from the field and 3 - for - 5 from the three - point line to score 18 points, while also adding six rebounds and two steals. Dellavedova, on the other hand, went 6 - for - 11 from the floor and 4 - for - 5 from deep to score 18 points, to go along with 12 assists and two steals. The double - double was the first for Dellavedova on the year, while both his point and assist totals were season - highs as well. Tristan Thompson was the other bench player to reach double figures. In 21 minutes, he finished with 12 points (4 - 7 FG, 4 - 4 FT) and eight rebounds, boosting his April averages to 7 points and 8 rebounds per game over 23 minutes. Playing just 18 minutes with the starters, Kevin Love was still very efficient with his time and chipped in with 19 points (6 - 12 FG, 5 - 6 3Pt, 2 - 2 FT) and three rebounds before getting most of the night off for rest. Like the Cavaliers, the Wizards rested the majority of their players, as John Wall, Bradley Beal and Paul Pierce were all held out of this matchup. It was Martell Webster who had the biggest outing, as he came off the bench for 20 points (5 - 9 FG, 3 - 5 3Pt, 7 - 8 FT) and three rebounds over 36 minutes. The 20 points were a new season - high for the forward, as he had yet to break double figures in points during this season. Rasual Butler was another reason the Wizards were able to keep this game close. He finished with 17 points (7 - 19 FG, 3 - 8 3Pt), seven rebounds and two steals, while playing 45 minutes. It was a nice end to the season for Butler, who finishes the year with averages of 8 points and 3 rebounds over 74 games. Both Kevin Seraphin and Ramon Sessions reached double figures in points as well. Seraphin recorded 12 points (6 - 13 FG, 0 - 1 FT), 12 rebounds and three blocked shots, while Sessions added 14 points (4 - 8 FG, 2 - 2 3Pt, 4 - 6 FT) and six assists. This marks the final regular season game for both teams, but each will head into the playoffs which start this weekend.
","Rasual Butler"
"report_7.txt","The Oklahoma City Thunder (8 - 13) defeated the Milwaukee Bucks (11 - 12) 114 - 101 on Tuesday at Chesapeake Energy Arena in Oklahoma City. The Thunder took advantage of their superior shooting in this one. They shot 50 percent from the field, compared to the Bucks who shot only 41 percent from the field. Despite turning the ball over 20 times, the Thunder were also able to out - rebound the Bucks 54 - 31, giving them enough of an advantage to sneak out the victory at home on Tuesday. The Thunder are thrilled to have both of their superstars back from injury as both Kevin Durant and Russell Westbrook led the Thunder to the victory in this one. Westbrook had a team - high of 28 points (8 - 16 FG, 0 - 2 3Pt), while also handing out seven assists. He was able to get to the line at will, and converted on 12 - of - 15 attempts. He's now scored over 20 points in seven out of the eight games he's played this season, recording season averages of 24 points and 7 assists per game. Durant on the other hand shot 7 - for - 11 from the field, but only 1 - for - 5 from the three - point line to score 23 points. He went a perfect 8 - for - 8 from the free throw line and came close to a triple - double with nine rebounds and seven assists. The rebounds and assists were season - highs for Durant. Serge Ibaka had a solid all - around game in the victory as he went a perfect 5 - for - 5 from the field to score 15 points. Reggie Jackson supplied the Thunder with an effective bench presence as well with 18 points and seven rebounds. O.J. Mayo was the leading scorer on the other side for the Bucks, as he shot 6 - for - 13 from the field, but only 0 - for - 4 from the three - point line to score a team - high of 18 points. He eventually had to leave the game though, as he fouled out before the end of regulation. Giannis Antetokounmpo was also able to reach double figures with 17 points and seven rebounds. He did n't shoot all that well from the field (4 - 11 FG, 1 - 2 3Pt), but he was able to get to the free throw line 11 times and converted on eight of those attempts. Rookie Jabari Parker was the other starter to reach double - digits in points. He finished 7 - for - 13 from the field to score 15 points, marking his second straight night totaling 15 points. Jarryd Bayless had the most production off the bench as he went 3 - for - 6 from the field and 5 - for - 5 from the free throw line to score 11 points. The Thunders' next game will be at home against the Cleveland Cavaliers on Thursday, while the Bucks will be at home against the Los Angeles Clippers on Saturday.
","Giannis Antetokounmpo"
"report_19.txt","Chris Paul racked up one of the rare monstrous double - double efforts this season after scoring 20 points and adding 20 assists. The Clippers point guard stepped up in the absence of Blake Griffin (knee) and contributed a hand in 60 of the teams 133 points. The majority of Paul's dimes came in the first three quarters, where he racked up 18, capped off by a Marreese Speights fourth quarter three with just over 5:0 remaining. Paul added five rebounds and three steals on 8 - of - 16 shooting in 30 minutes of action. The bench for the Clippers, once again, contributed a strong scoring effort, as both Jamal Crawford and Marreese Speights continue to make up one of the best bench duos in the league this year. Crawford finished with 22 points on 10 - of - 13 shooting, while Speights added 17 points on 17 points on 7 - of - 12 shooting.
","Marreese Speights"
"report_8.txt","Carmelo Anthony's season - high 45 points (on 36 shots) over 46 minutes led New York. He had a driving layup with two seconds left in regulation and an 18 - footer with six ticks in the first overtime. Brandon Jennings provided an 18 - point, 11 - assist double - double. Courtney Lee compiled 17 points and nine rebounds. Kristaps Porzingis and Justin Holiday had 15 points apiece, while Mindaugas Kuzminskas posted 13. Kyle O'Quinn and Joakim Noah had eight points but combined for 26 boards. Paul Millsap's 37 - point, 19 - rebound double - double led Atlanta, and he drained the game - winning basket with 27 seconds left in the fourth overtime. Kent Bazemore managed 24 points, while Dennis Schroder posted a 23 - point, 15 - assist double - double. Dwight Howard and Tim Hardaway had 19 apiece, with the former adding 13 rebounds. Mike Dunleavy (12 points) led the bench.
","Courtney Lee"
"report_3.txt","The Toronto Raptors (29 - 15) defeated the Detroit Pistons (17 - 28) 114 - 110 on Sunday at the Air Canada Center in Toronto. Despite being out - scored 31 - 25 in the final quarter, the Raptors were able to hold of the Pistons' late comeback attempt and secure the four - point victory in front of their home crowd. While the game may have been close, the Raptors shot the ball much better than the Pistons, going 53 percent from the field compared to just 46 percent from the field for the Pistons. The Raptors also forced them into 14 turnovers, while only committing eight of their own, which may have made a big difference in this one. After combining for only 14 points over his last three games, DeMar DeRozan returned to form Sunday, finishing with 25 points (8 - 14 FG, 1 - 2 3Pt, 8 - 10 FT), six rebounds and four assists. It was good to see him turn things around, as the Raptors really needed him to play well after losing six of their last ten games. Jonas Valnciunas was another big factor in the win. He went 9 - for - 15 from the field and 2 - for - 2 from the free throw line to score 20 points, while adding 11 rebounds and three blocked shots as well. He's now recorded a double - double in three out of his last four games, while also notching three blocks in two consecutive outings. Amir Johnson had a solid showing as well, finishing with an efficient 17 points (7 - 9 FG, 3 - 4 FT) and two rebounds. He only played 17 minutes in Friday's win over the Sixers, but he was back to a normal amount of minutes Sunday, playing a full game's worth of 28. Both Greivis Vasquez and Louis Williams reached double figures in points as well, with 13 and 12 points respectively. With Brandon Jennings going down for the year, D.J. Augustin stepped up in a big way, going 12 - for - 20 from the field and 5 - for - 9 from the three - point line to score a game - high of 35 points, while adding eight assists as well. It was the most shots he's taken all season, resulting in a new season - high in points. He'll run as the starting point guard moving forward. Greg Monroe had another strong stat line Sunday, recording 21 points (9 - 17 FG, 3 - 5 FT) and 16 rebounds. He's now posted a double - double in four out of his last five games. Andre Drummond nearly notched a double - double of his own, but came up just shy with 14 points (7 - 11 FG, 0 - 1 FT) and eight rebounds. He had a really tough matchup with Valanciunas, so he did n't have his normal eye - popping amount of rebounds that he's come accustomed to. The only other Piston to reach double figures in points was Kentavious Caldwell-Pope who added 16 points (6 - 17 FG, 3 - 9 3Pt, 1 - 2 FT), three rebounds and two steals. The Raptors' next game will be on the road against the Indiana Pacers on Tuesday, while the Pistons will be at home against the Cleveland Cavaliers on Tuesday.
","Amir Johnson"
"report_1.txt","The Milwaukee Bucks (18 - 17) defeated the New York Knicks (5 - 31) 95 - 82 on Sunday at Madison Square Garden in New York. The Bucks were able to have a great night defensively, giving themselves the scoring advantage in all four quarters. The Bucks showed superior shooting, going 46 percent from the field, while the Knicks went only 41 percent from the floor. The Bucks also out - rebounded the Knicks 48 - 36, giving them in an even further advantage which helped them secure the 13 - point victory on the road. Brandon Knight led the Bucks again in this one. He went 6 - for - 14 from the field and 1 - for - 3 from beyond the arc to score 17 points, while also handing out five assists. He's now averaging 21 points per game over his last three games, as he's consistently been the offensive leader for this team. Zaza Pachulia also had a strong showing, finishing with 16 points (6 - 12 FG, 4 - 4 FT) and a team - high of 14 rebounds. It marked his second double - double in a row and fourth on the season, as the inexperienced centers on the Knicks' roster were n't able to limit him. Notching a double - double of his own, Giannis Antetokounmpo recorded 16 points (6 - 9 FG, 1 - 1 3Pt, 3 - 6 FT) and 12 rebounds. The 12 rebounds matched a season - high, while it was his second double - double of the season. Coming off the bench for a big night was Kendall Marshall. He went 6 - for - 8 from the field and 3 - for - 3 from the free throw line to score 15 points in 20 minutes. The Knicks really struggled to score without Carmelo Anthony and Amare Stoudemire. Tim Hardaway Jr led the team as the starting shooting guard, going 6 - for - 13 from the field and 3 - for - 5 from the three - point line to score 17 points, while also adding four assists. He's now scored 17 or more points in three out of his last four games, as he has put it on himself to pick up the slack with other key players sitting out. J.R. Smith also put together a solid outing as a starter. He finished with 15 points and seven rebounds in 37 minutes. Like Haradaway Jr, he's also benefitted from other guys sitting out, and has now combined for 37 points over his last two games. While he did n't have his best night defensively, Cole Aldrich scored 12 points (6 - 10 FG) and grabbed seven rebounds in 19 minutes. The only other Knick to reach double figures in points was Jason Smith, who came off the bench for 10 points (3 - 11 FG, 4 - 4 FT). The Bucks' next game will be at home against the Phoenix Suns on Tuesday, while the Knicks will travel to Memphis to play the Grizzlies on Monday.
","Brandon Knight"
"report_1.txt","The Milwaukee Bucks (18 - 17) defeated the New York Knicks (5 - 31) 95 - 82 on Sunday at Madison Square Garden in New York. The Bucks were able to have a great night defensively, giving themselves the scoring advantage in all four quarters. The Bucks showed superior shooting, going 46 percent from the field, while the Knicks went only 41 percent from the floor. The Bucks also out - rebounded the Knicks 48 - 36, giving them in an even further advantage which helped them secure the 13 - point victory on the road. Brandon Knight led the Bucks again in this one. He went 6 - for - 14 from the field and 1 - for - 3 from beyond the arc to score 17 points, while also handing out five assists. He's now averaging 21 points per game over his last three games, as he's consistently been the offensive leader for this team. Zaza Pachulia also had a strong showing, finishing with 16 points (6 - 12 FG, 4 - 4 FT) and a team - high of 14 rebounds. It marked his second double - double in a row and fourth on the season, as the inexperienced centers on the Knicks' roster were n't able to limit him. Notching a double - double of his own, Giannis Antetokounmpo recorded 16 points (6 - 9 FG, 1 - 1 3Pt, 3 - 6 FT) and 12 rebounds. The 12 rebounds matched a season - high, while it was his second double - double of the season. Coming off the bench for a big night was Kendall Marshall. He went 6 - for - 8 from the field and 3 - for - 3 from the free throw line to score 15 points in 20 minutes. The Knicks really struggled to score without Carmelo Anthony and Amare Stoudemire. Tim Hardaway Jr led the team as the starting shooting guard, going 6 - for - 13 from the field and 3 - for - 5 from the three - point line to score 17 points, while also adding four assists. He's now scored 17 or more points in three out of his last four games, as he has put it on himself to pick up the slack with other key players sitting out. J.R. Smith also put together a solid outing as a starter. He finished with 15 points and seven rebounds in 37 minutes. Like Haradaway Jr, he's also benefitted from other guys sitting out, and has now combined for 37 points over his last two games. While he did n't have his best night defensively, Cole Aldrich scored 12 points (6 - 10 FG) and grabbed seven rebounds in 19 minutes. The only other Knick to reach double figures in points was Jason Smith, who came off the bench for 10 points (3 - 11 FG, 4 - 4 FT). The Bucks' next game will be at home against the Phoenix Suns on Tuesday, while the Knicks will travel to Memphis to play the Grizzlies on Monday.
","Tim Hardaway Jr"
"report_5.txt","The Milwaukee Bucks defeated the Cleveland Cavaliers 118 - 101 Tuesday at BMO Harris Bradley Center. The Bucks (8 - 8) took advantage of a Cavaliers (13 - 3) team that looked disinterested from the second quarter on, as Milwaukee managed to open up a four - point lead at halftime and won the game with the help of a dominant third quarter, which they won 34 - 20. It got so out of hand in the third period that Cleveland head coach Tyronn Lue pulled all five of his starters who were on the court. The Bucks were led by Giannis Antetokounmpo, who continues to put together an All-Star-caliber season. The Greek Freak scored a game - high 34 points on top of 12 rebounds, five assists, five steals and two blocked shots. Fellow young star Jabari Parker posted 18 points of his own, while Michael Beasley had one of his best performances of the season off the bench, scoring 17 points. As a team, the Bucks put together one of their best shooting nights of the year, as they shot an astounding 54 percent from the floor. For the Cavaliers, it was one of their more uninspiring performances of the season, as they lacked much energy and settled for a lot of 3 - point shots. As a team, 39 of their 75 shots came from behind the arc. LeBron James led the way with 22 points, four rebounds and four assists, while Kyrie Irving added 20 points. Kevin Love was the only other Cavalier to score in double figures, as he posted a double - double of 13 points and 13 rebounds. Cleveland had won four in a row and seven of their last eight before Tuesday night, however, and still sit comfortable as the top team in the Eastern Conference. Up next, the Bucks will head to Brooklyn on Thursday to take on the Nets, while the Cavaliers will go home Thursday and play the Clippers.
","Michael Beasley"
"report_0.txt","The Atlanta Hawks (46 - 12) beat the Orlando Magic (19 - 41) 95 - 88 on Friday. Al Horford had a good all - around game, putting up 17 points, 13 rebounds, four assists and two steals in a tough matchup against Nikola Vucevic. Kyle Korver was the lone Atlanta starter not to reach double figures in points. Jeff Teague bounced back from an illness, he scored 17 points to go along with seven assists and two steals. After a rough start to the month, the Hawks have won three straight and sit atop the Eastern Conference with a nine game lead on the second place Toronto Raptors. The Magic lost in devastating fashion to the Miami Heat in overtime Wednesday. They blew a seven point lead with 43 seconds remaining and they might have carried that with them into Friday's contest against the Hawks. Vucevic led the Magic with 21 points and 15 rebounds. Aaron Gordon (ankle) and Evan Fournier (hip) were unable to play due to injury. The Magic have four teams between them and the eighth and final playoff spot in the Eastern Conference. The Magic will host the Charlotte Hornets on Sunday, and the Hawks with take on the Heat in Miami on Saturday.
","Al Horford"
"report_0.txt","The Atlanta Hawks (46 - 12) beat the Orlando Magic (19 - 41) 95 - 88 on Friday. Al Horford had a good all - around game, putting up 17 points, 13 rebounds, four assists and two steals in a tough matchup against Nikola Vucevic. Kyle Korver was the lone Atlanta starter not to reach double figures in points. Jeff Teague bounced back from an illness, he scored 17 points to go along with seven assists and two steals. After a rough start to the month, the Hawks have won three straight and sit atop the Eastern Conference with a nine game lead on the second place Toronto Raptors. The Magic lost in devastating fashion to the Miami Heat in overtime Wednesday. They blew a seven point lead with 43 seconds remaining and they might have carried that with them into Friday's contest against the Hawks. Vucevic led the Magic with 21 points and 15 rebounds. Aaron Gordon (ankle) and Evan Fournier (hip) were unable to play due to injury. The Magic have four teams between them and the eighth and final playoff spot in the Eastern Conference. The Magic will host the Charlotte Hornets on Sunday, and the Hawks with take on the Heat in Miami on Saturday.
","Jeff Teague"
